Property Street Address 1,Property City,Property State,Property Zip,Unit,Lease From,Lease To

100 Fleetwood St.,Bryan,TX,77801,,,
11382 FM 2155,Snook,TX,77879,,08/01/2019,07/31/2020
1311 Leacreast,College Station,TX,77840,,08/01/2019,07/31/2020
1413 Dayton Ct.,College Station,TX,77845,,12/17/2018,12/31/2020
1444 Fincastle Loop,College Station,TX,77845,,04/01/2019,06/30/2020
149 Forest Dr.,College Station,TX,77840,,,
178 9th St,Somerville,TX,77879,,10/01/2018,
202 Davis,Bryan,TX,77801,,08/01/2019,07/31/2021
203 Davis,Bryan,TX,77801,,08/01/2018,07/31/2020
203 E Mustang,Caldwell,TX,77836,,06/01/2018,
204 Davis,Bryan,TX,77801,,07/01/2019,07/31/2021
209 Edge,Bryan,TX,77801,,10/01/2019,05/31/2020
210 Davis,Bryan,TX,77801,,08/01/2019,07/31/2020
213 Richards St. A,College Station,TX,77840,,07/01/2019,06/30/2020
305 Foch,Bryan,TX,77801,,09/23/2019,07/31/2021
3245 Red Robin Loop,Bryan,TX,77802,,01/01/2019,12/31/2020
349 7th,Somerville,TX,77879,,08/01/2019,07/31/2020
4320 Culpepper,Bryan,TX,77801,,08/01/2019,07/31/2020
4321 Maywood,Bryan,TX,77801,,07/22/2019,07/22/2020
4404 Kingsdale Dr.,Bryan,TX,77802,,08/12/2019,02/12/2021
606 Welsh,College Station,TX,77840,,08/01/2018,07/31/2020
840 Big Berry Road,Somerville,TX,77879,,,
10345 Main St,Snook,TX,77879,,08/01/2017,07/31/2020
10357 Spur FM2155,Snook,TX,77879,,08/01/2019,07/31/2020
369 7th,Somerville,TX,77879,,01/01/2020,12/31/2020
128 CR 269,Somerville,TX,77879,,08/01/2019,07/31/2020
207 Davis,Bryan,TX,77801,A,11/01/2019,07/31/2020
2406 Long Dr.,Bryan,TX,77802,A,07/01/2017,
400 Suffolk A,College Station,TX,77840,A,,
4405 Aspen A,Bryan,TX,77801,A,10/28/2019,04/27/2020
4940 FM 1361,Somerville,TX,77879,A,,
207 Davis,Bryan,TX,77801,B,08/01/2019,07/31/2020
2406 Long Dr.,Bryan,TX,77802,B,05/01/2018,04/30/2020
400 Suffolk A,College Station,TX,77840,B,,
4405 Aspen A,Bryan,TX,77801,B,,
4940 FM 1361,Somerville,TX,77879,B,08/01/2019,07/31/2020
207 Davis,Bryan,TX,77801,C,08/01/2018,07/31/2020
4405 Aspen A,Bryan,TX,77801,C,08/01/2019,07/31/2020
17373 CR 433,Somerville,TX,77879,campsite,,
4405 Aspen A,Bryan,TX,77801,D,,
114 CR 269,Somerville,TX,77879,Garage,,
114 CR 269,Somerville,TX,77879,House,09/01/2019,
17373 CR 433,Somerville,TX,77879,unimproved,,
202 Dellwood,Bryan,TX,77801,1,08/05/2017,
208 Davis,Bryan,TX,77801,1,02/01/2019,07/31/2020
209 Davis,Bryan,TX,77801,1,08/01/2019,07/31/2020
2809 2nd Street,Bryan,TX,77801,1,,
4407 Aspen,Bryan,TX,77801,1,,
209 Davis,Bryan,TX,77801,2,08/01/2019,07/31/2020
209 Davis,Bryan,TX,77801,3,08/01/2019,07/31/2020
209 Davis,Bryan,TX,77801,4,02/15/2019,07/31/2020
139 Avenue P,Somerville,TX,77879,4 acre tract,12/01/2019,11/30/2020
209 Davis,Bryan,TX,77801,5,08/01/2019,07/31/2020
